User Text,Intent,Response
Give me a template for a service agreement.,template_document_generation,Purchase Agreement Template: 'This agreement outlines the terms of sale between [Buyer] and [Seller].'
Determine if this is a lease or a purchase agreement.,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Categorize this as a memorandum or an affidavit.,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Draft a basic non-disclosure agreement template.,template_document_generation,Purchase Agreement Template: 'This agreement outlines the terms of sale between [Buyer] and [Seller].'
Provide a standard affidavit template.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Is this a contract or an agreement?,document_classification,The document type is 'Rental Agreement.'
Is this a contract or an agreement?,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
What type of document is this?,document_classification,The document is categorized as an 'Affidavit.'
Categorize this as a memorandum or an affidavit.,document_classification,The document type is 'Rental Agreement.'
Determine if this is a lease or a purchase agreement.,document_classification,This document is classified as a 'Contract.'
Is this a contract or an agreement?,document_classification,This is a 'Lease Agreement' document.
Provide a standard affidavit template.,template_document_generation,"Affidavit Template: 'I, [Name], do hereby declare under oath that [Statement].'"
Give me a template for a service agreement.,template_document_generation,Rental Agreement Template: 'This agreement is made between [Landlord] and [Tenant]. Terms: [Details].'
What type of document is this?,document_classification,This is a 'Lease Agreement' document.
Create a template for a purchase agreement.,template_document_generation,Service Agreement Template: 'This service agreement is made between [Provider] and [Client]. Scope of services: [Details].'
Categorize this as a memorandum or an affidavit.,document_classification,The document type is 'Rental Agreement.'
Is this a contract or an agreement?,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Is this a contract or an agreement?,document_classification,This document is classified as a 'Contract.'
Provide a standard affidavit template.,template_document_generation,Purchase Agreement Template: 'This agreement outlines the terms of sale between [Buyer] and [Seller].'
Classify this document into a legal type.,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Generate a template for a rental agreement.,template_document_generation,Purchase Agreement Template: 'This agreement outlines the terms of sale between [Buyer] and [Seller].'
Generate a template for a rental agreement.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Categorize this as a memorandum or an affidavit.,document_classification,The document is categorized as an 'Affidavit.'
What type of document is this?,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Is this a contract or an agreement?,document_classification,The document type is 'Rental Agreement.'
What type of document is this?,document_classification,The document type is 'Rental Agreement.'
Is this a contract or an agreement?,document_classification,This document is classified as a 'Contract.'
Give me a template for a service agreement.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Determine if this is a lease or a purchase agreement.,document_classification,The document is categorized as an 'Affidavit.'
Draft a basic non-disclosure agreement template.,template_document_generation,"Affidavit Template: 'I, [Name], do hereby declare under oath that [Statement].'"
Generate a template for a rental agreement.,template_document_generation,Service Agreement Template: 'This service agreement is made between [Provider] and [Client]. Scope of services: [Details].'
What type of document is this?,document_classification,The document type is 'Rental Agreement.'
Create a template for a purchase agreement.,template_document_generation,Purchase Agreement Template: 'This agreement outlines the terms of sale between [Buyer] and [Seller].'
Create a template for a purchase agreement.,template_document_generation,Service Agreement Template: 'This service agreement is made between [Provider] and [Client]. Scope of services: [Details].'
What type of document is this?,document_classification,The document type is 'Rental Agreement.'
Classify this document into a legal type.,document_classification,This document is classified as a 'Contract.'
Generate a template for a rental agreement.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Give me a template for a service agreement.,template_document_generation,"Affidavit Template: 'I, [Name], do hereby declare under oath that [Statement].'"
Create a template for a purchase agreement.,template_document_generation,Purchase Agreement Template: 'This agreement outlines the terms of sale between [Buyer] and [Seller].'
What type of document is this?,document_classification,This is a 'Lease Agreement' document.
What type of document is this?,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Determine if this is a lease or a purchase agreement.,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Provide a standard affidavit template.,template_document_generation,Service Agreement Template: 'This service agreement is made between [Provider] and [Client]. Scope of services: [Details].'
What type of document is this?,document_classification,The document type is 'Rental Agreement.'
What type of document is this?,document_classification,This document is classified as a 'Contract.'
Create a template for a purchase agreement.,template_document_generation,Purchase Agreement Template: 'This agreement outlines the terms of sale between [Buyer] and [Seller].'
Give me a template for a service agreement.,template_document_generation,Service Agreement Template: 'This service agreement is made between [Provider] and [Client]. Scope of services: [Details].'
Draft a basic non-disclosure agreement template.,template_document_generation,Service Agreement Template: 'This service agreement is made between [Provider] and [Client]. Scope of services: [Details].'
Give me a template for a service agreement.,template_document_generation,"Affidavit Template: 'I, [Name], do hereby declare under oath that [Statement].'"
Provide a standard affidavit template.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Classify this document into a legal type.,document_classification,It’s a 'Non-Disclosure Agreement (NDA).'
Generate a template for a rental agreement.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Is this a contract or an agreement?,document_classification,This is a 'Lease Agreement' document.
Determine if this is a lease or a purchase agreement.,document_classification,The document is categorized as an 'Affidavit.'
Is this a contract or an agreement?,document_classification,The document type is 'Rental Agreement.'
Provide a standard affidavit template.,template_document_generation,"Affidavit Template: 'I, [Name], do hereby declare under oath that [Statement].'"
Generate a template for a rental agreement.,template_document_generation,"Affidavit Template: 'I, [Name], do hereby declare under oath that [Statement].'"
Is this a contract or an agreement?,document_classification,The document is categorized as an 'Affidavit.'
Determine if this is a lease or a purchase agreement.,document_classification,The document type is 'Rental Agreement.'
Provide a standard affidavit template.,template_document_generation,Service Agreement Template: 'This service agreement is made between [Provider] and [Client]. Scope of services: [Details].'
Categorize this as a memorandum or an affidavit.,document_classification,The document type is 'Rental Agreement.'
Generate a template for a rental agreement.,template_document_generation,Rental Agreement Template: 'This agreement is made between [Landlord] and [Tenant]. Terms: [Details].'
Categorize this as a memorandum or an affidavit.,document_classification,The document type is 'Rental Agreement.'
Generate a template for a rental agreement.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Categorize this as a memorandum or an affidavit.,document_classification,The document type is 'Rental Agreement.'
Provide a standard affidavit template.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
Categorize this as a memorandum or an affidavit.,document_classification,The document type is 'Rental Agreement.'
Classify this document into a legal type.,document_classification,The document type is 'Rental Agreement.'
Provide a standard affidavit template.,template_document_generation,Non-Disclosure Agreement Template: 'This NDA is made between [Party A] and [Party B]. Confidentiality terms apply.'
