User Query,Intent,Response
Identify the parties in this contract.,named_entity_recognition,"Parties: [Party A: John Doe, Party B: Jane Smith]."
Extract all dates from this legal document.,named_entity_recognition,"Parties: [Party A: John Doe, Party B: Jane Smith]."
Summarize the confidentiality clause.,legal_text_extraction,Confidentiality Clause: 'Neither party shall disclose confidential information.'
What are the obligations of the tenant?,legal_text_extraction,Buyer's Rights: 'The buyer has the right to a refund if the goods are defective.'
Summarize the confidentiality clause.,legal_text_extraction,Confidentiality Clause: 'Neither party shall disclose confidential information.'
What are the obligations of the tenant?,legal_text_extraction,Confidentiality Clause: 'Neither party shall disclose confidential information.'
Find all legal terms and case references.,named_entity_recognition,"Legal Terms: ['Force Majeure', 'Indemnity Clause']."
Find the termination conditions in this agreement.,legal_text_extraction,Termination Conditions: 'Either party may terminate with 30 days' notice.'
What are the obligations of the tenant?,legal_text_extraction,Confidentiality Clause: 'Neither party shall disclose confidential information.'
Extract the penalty clause from this contract.,legal_text_extraction,Obligations: 'The tenant must maintain the property and pay rent on time.'
What rights does the buyer have in this contract?,legal_text_extraction,"Penalty Clause: 'In case of late payment, a penalty of 5% applies.'"
Summarize the confidentiality clause.,legal_text_extraction,Termination Conditions: 'Either party may terminate with 30 days' notice.'
What are the obligations of the tenant?,legal_text_extraction,"Penalty Clause: 'In case of late payment, a penalty of 5% applies.'"
What are the obligations of the tenant?,legal_text_extraction,Termination Conditions: 'Either party may terminate with 30 days' notice.'
Identify the parties in this contract.,named_entity_recognition,"Parties: [Party A: John Doe, Party B: Jane Smith]."
Find the termination conditions in this agreement.,legal_text_extraction,"Penalty Clause: 'In case of late payment, a penalty of 5% applies.'"
Summarize the confidentiality clause.,legal_text_extraction,Buyer's Rights: 'The buyer has the right to a refund if the goods are defective.'
Who are the stakeholders in this agreement?,named_entity_recognition,"Stakeholders: [Stakeholder 1: ABC Corp, Stakeholder 2: XYZ Inc.]."
Identify the parties in this contract.,named_entity_recognition,"Stakeholders: [Stakeholder 1: ABC Corp, Stakeholder 2: XYZ Inc.]."
What rights does the buyer have in this contract?,legal_text_extraction,Confidentiality Clause: 'Neither party shall disclose confidential information.'
Extract the penalty clause from this contract.,legal_text_extraction,Obligations: 'The tenant must maintain the property and pay rent on time.'
Find the termination conditions in this agreement.,legal_text_extraction,Termination Conditions: 'Either party may terminate with 30 days' notice.'
Identify the parties in this contract.,named_entity_recognition,"Jurisdictions: [New York, California]."
Extract all dates from this legal document.,named_entity_recognition,"Parties: [Party A: John Doe, Party B: Jane Smith]."
Summarize the confidentiality clause.,legal_text_extraction,"Penalty Clause: 'In case of late payment, a penalty of 5% applies.'"
Identify the parties in this contract.,named_entity_recognition,"Legal Terms: ['Force Majeure', 'Indemnity Clause']."
Extract the penalty clause from this contract.,legal_text_extraction,Obligations: 'The tenant must maintain the property and pay rent on time.'
Extract all dates from this legal document.,named_entity_recognition,"Parties: [Party A: John Doe, Party B: Jane Smith]."
Identify the parties in this contract.,named_entity_recognition,"Stakeholders: [Stakeholder 1: ABC Corp, Stakeholder 2: XYZ Inc.]."
What are the jurisdictions mentioned here?,named_entity_recognition,"Jurisdictions: [New York, California]."
Identify the parties in this contract.,named_entity_recognition,"Stakeholders: [Stakeholder 1: ABC Corp, Stakeholder 2: XYZ Inc.]."
Who are the stakeholders in this agreement?,named_entity_recognition,"Parties: [Party A: John Doe, Party B: Jane Smith]."
Who are the stakeholders in this agreement?,named_entity_recognition,"Dates: [Effective Date: Jan 1, 2025, Expiry Date: Dec 31, 2025]."
What are the obligations of the tenant?,legal_text_extraction,Termination Conditions: 'Either party may terminate with 30 days' notice.'
What are the obligations of the tenant?,legal_text_extraction,Buyer's Rights: 'The buyer has the right to a refund if the goods are defective.'
Summarize the confidentiality clause.,legal_text_extraction,Termination Conditions: 'Either party may terminate with 30 days' notice.'
What are the jurisdictions mentioned here?,named_entity_recognition,"Legal Terms: ['Force Majeure', 'Indemnity Clause']."
What rights does the buyer have in this contract?,legal_text_extraction,"Penalty Clause: 'In case of late payment, a penalty of 5% applies.'"
What are the jurisdictions mentioned here?,named_entity_recognition,"Legal Terms: ['Force Majeure', 'Indemnity Clause']."
Find the termination conditions in this agreement.,legal_text_extraction,Obligations: 'The tenant must maintain the property and pay rent on time.'
Summarize the confidentiality clause.,legal_text_extraction,Obligations: 'The tenant must maintain the property and pay rent on time.'
What rights does the buyer have in this contract?,legal_text_extraction,Obligations: 'The tenant must maintain the property and pay rent on time.'
Find all legal terms and case references.,named_entity_recognition,"Dates: [Effective Date: Jan 1, 2025, Expiry Date: Dec 31, 2025]."
Summarize the confidentiality clause.,legal_text_extraction,Confidentiality Clause: 'Neither party shall disclose confidential information.'
Summarize the confidentiality clause.,legal_text_extraction,Obligations: 'The tenant must maintain the property and pay rent on time.'
What rights does the buyer have in this contract?,legal_text_extraction,Buyer's Rights: 'The buyer has the right to a refund if the goods are defective.'
Summarize the confidentiality clause.,legal_text_extraction,"Penalty Clause: 'In case of late payment, a penalty of 5% applies.'"
