User Text,Intent,Response
Simplify the terms and conditions of this agreement.,legal_document_simplification,"Simplified: 'If payment is late, a penalty of 5% applies.'"
Can you simplify this legal document for me?,legal_document_simplification,"Sure, here's a simplified version: 'The tenant must pay rent monthly without delay.'"
Give me a short overview of this contract.,text_summarization,Case summary: 'The court ruled in favor of the defendant due to lack of evidence.'
Break down this contract into simpler terms.,legal_document_simplification,"Simplified: 'If payment is late, a penalty of 5% applies.'"
Provide a concise summary of this legal agreement.,text_summarization,Concise summary: 'This document outlines the responsibilities of both parties in a rental agreement.'
Make this legal text easier to understand.,legal_document_simplification,Simplified explanation: 'You can terminate the contract anytime after giving notice.'
Can you provide a summary of this case law?,text_summarization,Case summary: 'The court ruled in favor of the defendant due to lack of evidence.'
Summarize the terms and conditions in brief.,text_summarization,Summary: 'This agreement is for a 12-month lease with monthly payments of $1000.'
Summarize this legal document for me.,text_summarization,"Summary: 'The contract includes confidentiality, payment terms, and termination clauses.'"
Simplify the terms and conditions of this agreement.,legal_document_simplification,"Sure, here's a simplified version: 'The tenant must pay rent monthly without delay.'"
Can you simplify this legal document for me?,legal_document_simplification,This legal clause means: 'The seller guarantees the product for 6 months.'
Summarize the terms and conditions in brief.,text_summarization,In brief: 'The buyer agrees to pay $500 upfront and $500 upon delivery.'
Can you simplify this legal document for me?,legal_document_simplification,Simplified explanation: 'You can terminate the contract anytime after giving notice.'
Break down this contract into simpler terms.,legal_document_simplification,Simplified explanation: 'You can terminate the contract anytime after giving notice.'
Make this legal text easier to understand.,legal_document_simplification,Simplified explanation: 'You can terminate the contract anytime after giving notice.'
Give me a short overview of this contract.,text_summarization,"Summary: 'The contract includes confidentiality, payment terms, and termination clauses.'"
Summarize the terms and conditions in brief.,text_summarization,Concise summary: 'This document outlines the responsibilities of both parties in a rental agreement.'
Can you provide a summary of this case law?,text_summarization,"Summary: 'The contract includes confidentiality, payment terms, and termination clauses.'"
Make this legal text easier to understand.,legal_document_simplification,"Simplified: 'If payment is late, a penalty of 5% applies.'"
Provide a concise summary of this legal agreement.,text_summarization,Summary: 'This agreement is for a 12-month lease with monthly payments of $1000.'
